,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,vleAvBef,vleSumNorm,avAssNorm,res
0,0,3,6516,1,6,1,7,2,0,60,0,4.240740741000001,0.10994441,0.57,1
1,0,1,11391,1,0,1,8,2,0,240,0,5.338345865,0.048658294000000005,0.81,1
2,2,3,23698,0,0,0,4,0,0,120,0,3.19,0.043716972,0.8125,1
3,1,1,23798,1,10,0,4,0,0,60,0,1.921465969,0.025118386,0.938571429,1
4,6,2,24186,0,12,2,9,0,0,30,1,1.636363636,0.0036373620000000003,0.7,1
5,3,2,24213,0,0,0,3,0,1,60,0,2.981912145,0.079129778,0.8075,1
6,0,3,24734,0,8,2,5,0,0,60,0,1.976,0.016882849,0.436666667,1
7,1,0,25107,0,0,2,1,0,0,120,0,4.951456311,0.10493445900000001,0.764285714,1
8,4,2,25150,1,5,1,8,0,0,60,0,4.302491103,0.082904399,0.8633333329999999,1
9,6,1,26023,1,5,2,9,1,0,30,0,2.8299319730000003,0.02848123,0.7975,1
10,0,3,26192,0,0,0,5,1,0,60,0,3.5560439560000003,0.110973852,0.85,1
11,5,1,26247,1,7,1,7,1,2,60,0,3.22972973,0.032736257000000005,0.88,0
12,1,3,26315,0,0,2,5,1,1,60,0,3.559633028,0.079816073,0.443333333,1
13,1,3,26734,1,9,0,1,0,0,90,1,1.875,0.014343558999999999,0.7433333329999999,0
14,4,1,26915,1,10,2,0,1,0,30,0,1.967741935,0.004117768,0.0,0
15,5,2,27683,1,3,1,2,0,0,60,0,4.432432432,0.067462769,0.6925,1
16,1,1,27759,1,5,2,3,1,0,120,1,2.096491228,0.016333814,0.735714286,0
17,4,2,27780,1,10,0,9,0,0,150,0,3.41509434,0.024775237999999998,0.6,1
18,1,2,27891,1,6,2,0,0,4,120,1,3.357142857,0.003156956,0.691666667,0
19,3,1,27935,0,0,2,2,0,0,60,1,2.436923077,0.05428591,0.7525,0
20,0,3,28061,1,12,2,3,1,0,60,0,2.559471366,0.079678814,0.7666666670000001,1
21,0,1,28400,0,6,1,1,1,0,60,0,3.3031358889999995,0.06499210799999999,0.693333333,1
22,4,3,28770,1,6,2,1,0,0,30,0,1.0,0.0,0.0,0
23,5,2,28808,0,8,0,8,0,0,60,0,2.1682242990000002,0.015853407,0.7,0
24,5,2,28897,1,9,0,9,0,0,120,0,3.93359375,0.138151122,0.8725,1
25,5,1,29335,1,11,2,3,0,0,60,0,4.335483871,0.322764395,0.92,1
26,3,1,29411,1,1,0,7,0,0,60,0,1.9021739130000002,0.023951685,0.531666667,1
27,2,3,29420,1,10,0,6,0,0,30,0,2.49068323,0.027451787999999998,0.93,1
28,4,2,29639,1,4,2,8,0,0,30,0,3.2947882739999996,0.138768787,0.0,1
29,2,2,29764,1,0,0,4,0,0,90,0,4.09383378,0.10472857,0.92,1
30,5,1,29769,1,1,0,3,0,1,60,0,3.887434555,0.101846133,0.775,0
31,2,2,29820,1,0,1,3,0,0,60,0,2.244514107,0.04907007099999999,0.808571429,1
32,4,2,29820,1,0,1,3,0,0,60,0,2.233532934,0.051128955,0.0,1
33,1,1,30091,0,9,0,9,0,0,60,1,4.131147541,0.069109876,0.8783333329999999,1
34,2,3,30096,1,0,1,8,0,0,60,0,3.697368421,0.038501132,0.96,1
35,5,2,30531,1,0,2,4,0,1,180,0,4.4255952380000005,0.10198339199999999,0.8725,0
36,3,1,30549,1,7,0,0,1,2,60,0,2.060606061,0.009264978,0.35,0
37,6,2,31107,1,9,2,3,1,0,30,0,4.257383966,0.13842564,0.87,1
38,2,3,31161,1,8,4,8,2,0,105,0,3.988764045,0.146112141,0.9475,1
39,3,1,31173,1,5,0,3,1,1,60,0,3.0,0.027932194,0.5625,0
40,6,3,31205,1,1,2,1,1,0,30,1,2.8358208960000004,0.026010569,0.905,0
41,5,3,31296,1,1,2,2,0,1,60,0,3.585365854,0.020108435,0.52,0
42,0,3,31600,0,9,0,3,0,0,60,0,3.917808219,0.019559398999999998,0.52,1
43,0,1,31604,0,7,0,4,1,0,60,0,3.412345679,0.094777297,0.723333333,1
44,1,0,31663,1,4,0,2,1,0,60,0,4.045988258,0.283714227,0.838571429,1
45,1,1,31849,0,9,2,5,1,0,120,0,3.207048458,0.049893624000000004,0.794285714,1
46,5,1,32221,1,8,0,5,0,0,60,0,3.814814815,0.077688559,0.8959999999999999,0
47,6,1,32239,0,3,0,2,0,0,30,0,2.702380952,0.01551026,0.7,1
48,1,3,32930,0,8,0,3,1,0,60,0,2.9,0.013863153000000001,0.39,1
49,3,3,33387,1,6,1,9,0,2,90,0,1.0,0.0,0.59,0
50,3,3,33681,1,7,0,4,1,3,60,1,1.5789473680000001,0.001990255,0.7614285709999999,0
51,3,3,33796,1,0,2,7,1,2,60,0,2.1282051280000003,0.017020108,0.7275,1
52,5,0,33915,0,7,0,2,0,0,60,0,3.752906977,0.17713266100000002,0.917142857,1
53,3,1,33930,0,9,0,1,0,0,90,0,2.446043165,0.02326539,0.8375,1
54,1,0,34353,1,6,0,6,1,0,120,1,2.573770492,0.021481023999999998,0.93,0
55,3,1,34653,1,1,2,2,0,0,60,0,2.099009901,0.014480818000000001,0.49,0
56,1,0,34863,0,3,0,4,0,0,60,0,2.28358209,0.010431679000000001,0.728571429,1
57,6,1,35001,0,1,2,6,1,0,30,0,1.6041666669999999,0.00521584,0.75,0
58,4,2,35340,1,8,0,4,0,0,60,0,3.6590909089999997,0.077276783,0.8766666670000001,1
59,4,1,35355,1,10,2,0,1,0,30,0,3.645833333,0.084002471,0.7871428570000001,1
60,2,3,35508,1,9,0,8,0,0,30,0,2.712121212,0.036785396,0.902,1
61,4,2,35508,1,9,0,8,0,0,30,0,3.515738499,0.09958136,0.0,1
62,5,0,35544,1,10,0,7,1,0,60,0,3.553072626,0.087228056,0.88,1
63,5,3,35796,1,10,0,1,0,0,60,0,3.1030927839999998,0.041246311,0.82,0
64,1,0,35812,0,0,2,2,0,0,60,0,1.727272727,0.00123533,0.71,0
65,3,1,35859,1,5,0,8,0,0,60,0,1.0,0.0,0.0,0
66,5,0,35860,1,9,0,9,0,0,60,0,3.29375,0.07226683099999999,0.833333333,1
67,5,2,36347,1,5,2,9,0,0,120,0,3.671554252,0.08585546599999999,0.7275,1
68,1,1,37622,0,6,1,7,0,1,120,0,2.723214286,0.020863358999999998,0.83,1
69,2,3,37652,0,3,1,1,1,0,50,0,3.90070922,0.037677578999999996,1.0,1
70,0,1,38053,1,10,0,7,1,0,60,0,3.4255874669999997,0.089973235,0.74,1
71,1,2,38941,0,1,0,9,0,0,60,0,1.0,0.0,0.77,0
72,1,3,39208,0,10,0,8,1,0,120,0,2.8344226580000003,0.08921831,0.81,1
73,3,1,39411,0,11,2,0,0,0,60,0,2.827586207,0.011186604,0.7,0
74,1,0,39655,0,6,2,4,0,0,120,0,2.485294118,0.023128131,0.8214285709999999,1
75,3,2,39660,0,5,2,0,0,0,120,0,2.240143369,0.042824789,0.645,0
76,5,2,39882,0,6,0,7,0,1,120,0,4.25093633,0.077825818,0.811111111,1
77,3,1,40184,1,10,1,2,2,0,60,0,2.3157894740000002,0.08146318,0.9325,1
78,3,1,40563,0,7,0,0,0,0,60,0,1.888888889,0.031432297000000005,0.8375,1
79,2,2,40604,1,2,0,4,1,0,30,0,2.5207100590000002,0.029167525,0.795,1
80,5,3,40878,1,5,2,0,0,0,120,0,3.695175439,0.115572027,0.91,1
81,3,0,41060,1,2,1,6,0,0,60,0,1.948571429,0.02333402,0.88375,0
82,6,2,41414,0,11,2,0,0,0,30,1,2.4413407819999997,0.029922449,0.776666667,1
83,5,2,41489,0,0,2,1,0,0,60,0,1.892857143,0.0035687320000000002,0.0,0
84,5,3,42552,0,0,0,7,0,0,90,0,4.302228412,0.211927802,0.76,1
85,5,1,42616,0,6,2,7,1,0,60,0,3.315372425,0.143504221,0.736666667,1
86,4,1,42638,1,6,1,8,1,0,60,0,4.640330189,0.269988333,0.0,1
87,5,0,42668,1,3,2,9,1,1,120,0,3.213483146,0.09807151199999999,0.8,1
88,2,3,42746,0,8,1,4,1,0,60,0,3.6310679610000003,0.102601057,0.945,1
89,5,2,42746,0,8,1,4,1,0,60,0,4.216261526,0.34513760200000004,0.0,1
90,3,1,42818,0,0,2,3,0,0,180,1,2.150537634,0.013657263999999999,0.39,0
91,5,0,43273,1,1,1,5,1,0,90,0,3.1034482760000004,0.043167936,0.7325,1
92,4,1,43564,1,6,1,7,1,0,60,0,3.8,0.099032324,0.953333333,1
93,5,3,43958,1,10,0,8,1,1,60,0,3.067039106,0.07528652799999999,0.836363636,0
94,5,3,45423,1,9,2,6,1,0,60,0,5.237995825,0.17212270899999998,0.625,0
