,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,vleAvBef,vleSumNorm,avAssNorm,times,distance,res
0,0,3,6516,1,6,1,7,2,0,60,0,4.240740741,0.10994441,0.57,151,269,1
1,0,1,11391,1,0,1,8,2,0,240,0,5.338345865,0.048658294,0.81,40,253,1
2,2,3,23698,0,0,0,4,0,0,120,0,3.19,0.043716972,0.8125,58,231,1
3,1,1,23798,1,10,0,4,0,0,60,0,1.921465969,0.025118386,0.938571429,77,267,1
4,6,2,24186,0,12,2,9,0,0,30,1,1.636363636,0.003637362,0.7,23,240,1
5,3,2,24213,0,0,0,3,0,1,60,0,2.981912145,0.079129778,0.8075,117,237,1
6,0,3,24734,0,8,2,5,0,0,60,0,1.976,0.016882849,0.436666667,54,252,1
7,1,0,25107,0,0,2,1,0,0,120,0,4.951456311,0.104934459,0.764285714,114,238,1
8,4,2,25150,1,5,1,8,0,0,60,0,4.302491103,0.082904399,0.863333333,116,230,1
9,6,1,26023,1,5,2,9,1,0,30,0,2.829931973,0.02848123,0.7975,78,253,1
10,0,3,26192,0,0,0,5,1,0,60,0,3.556043956,0.110973852,0.85,110,254,1
11,5,1,26247,1,7,1,7,1,2,60,0,3.22972973,0.032736257,0.88,15,26,0
12,1,3,26315,0,0,2,5,1,1,60,0,3.559633028,0.079816073,0.443333333,85,257,1
13,1,3,26734,1,9,0,1,0,0,90,1,1.875,0.014343559,0.743333333,28,133,0
14,4,1,26915,1,10,2,0,1,0,30,0,1.967741935,0.004117768,0,5,31,0
15,5,2,27683,1,3,1,2,0,0,60,0,4.432432432,0.067462769,0.6925,50,232,1
16,1,1,27759,1,5,2,3,1,0,120,1,2.096491228,0.016333814,0.735714286,46,263,0
17,4,2,27780,1,10,0,9,0,0,150,0,3.41509434,0.024775238,0.6,39,227,1
18,1,2,27891,1,6,2,0,0,4,120,1,3.357142857,0.003156956,0.691666667,22,86,0
19,3,1,27935,0,0,2,2,0,0,60,1,2.436923077,0.05428591,0.7525,53,150,0
20,0,3,28061,1,12,2,3,1,0,60,0,2.559471366,0.079678814,0.766666667,132,269,1
21,0,1,28400,0,6,1,1,1,0,60,0,3.303135889,0.064992108,0.693333333,74,239,1
22,5,2,28808,0,8,0,8,0,0,60,0,2.168224299,0.015853407,0.7,14,85,0
23,5,2,28897,1,9,0,9,0,0,120,0,3.93359375,0.138151122,0.8725,129,226,1
24,5,1,29335,1,11,2,3,0,0,60,0,4.335483871,0.322764395,0.92,226,267,1
25,3,1,29411,1,1,0,7,0,0,60,0,1.902173913,0.023951685,0.531666667,82,235,1
26,2,3,29420,1,10,0,6,0,0,30,0,2.49068323,0.027451788,0.93,48,245,1
27,4,2,29639,1,4,2,8,0,0,30,0,3.294788274,0.138768787,0,254,210,1
28,2,2,29764,1,0,0,4,0,0,90,0,4.09383378,0.10472857,0.92,85,237,1
29,5,1,29769,1,1,0,3,0,1,60,0,3.887434555,0.101846133,0.775,62,167,0
30,2,2,29820,1,0,1,3,0,0,60,0,2.244514107,0.049070071,0.808571429,119,225,1
31,4,2,29820,1,0,1,3,0,0,60,0,2.233532934,0.051128955,0,119,225,1
32,1,1,30091,0,9,0,9,0,0,60,1,4.131147541,0.069109876,0.878333333,64,243,1
33,2,3,30096,1,0,1,8,0,0,60,0,3.697368421,0.038501132,0.96,46,239,1
34,5,2,30531,1,0,2,4,0,1,180,0,4.425595238,0.101983392,0.8725,52,220,0
35,3,1,30549,1,7,0,0,1,2,60,0,2.060606061,0.009264978,0.35,20,147,0
36,6,2,31107,1,9,2,3,1,0,30,0,4.257383966,0.13842564,0.87,203,240,1
37,2,3,31161,1,8,4,8,2,0,105,0,3.988764045,0.146112141,0.9475,174,262,1
38,3,1,31173,1,5,0,3,1,1,60,0,3,0.027932194,0.5625,57,254,0
39,6,3,31205,1,1,2,1,1,0,30,1,2.835820896,0.026010569,0.905,23,170,0
40,5,3,31296,1,1,2,2,0,1,60,0,3.585365854,0.020108435,0.52,42,263,0
41,0,3,31600,0,9,0,3,0,0,60,0,3.917808219,0.019559399,0.52,14,240,1
42,0,1,31604,0,7,0,4,1,0,60,0,3.412345679,0.094777297,0.723333333,119,264,1
43,1,0,31663,1,4,0,2,1,0,60,0,4.045988258,0.283714227,0.838571429,214,238,1
44,1,1,31849,0,9,2,5,1,0,120,0,3.207048458,0.049893624,0.794285714,80,268,1
45,5,1,32221,1,8,0,5,0,0,60,0,3.814814815,0.077688559,0.896,47,129,0
46,6,1,32239,0,3,0,2,0,0,30,0,2.702380952,0.01551026,0.7,50,237,1
47,1,3,32930,0,8,0,3,1,0,60,0,2.9,0.013863153,0.39,13,214,1
48,3,3,33387,1,6,1,9,0,2,90,0,1,0,0.59,22,131,0
49,3,3,33681,1,7,0,4,1,3,60,1,1.578947368,0.001990255,0.761428571,20,122,0
50,3,3,33796,1,0,2,7,1,2,60,0,2.128205128,0.017020108,0.7275,45,250,1
51,5,0,33915,0,7,0,2,0,0,60,0,3.752906977,0.177132661,0.917142857,121,236,1
52,3,1,33930,0,9,0,1,0,0,90,0,2.446043165,0.02326539,0.8375,69,234,1
53,1,0,34353,1,6,0,6,1,0,120,1,2.573770492,0.021481024,0.93,32,219,0
54,3,1,34653,1,1,2,2,0,0,60,0,2.099009901,0.014480818,0.49,18,140,0
55,1,0,34863,0,3,0,4,0,0,60,0,2.28358209,0.010431679,0.728571429,19,210,1
56,6,1,35001,0,1,2,6,1,0,30,0,1.604166667,0.00521584,0.75,14,100,0
57,4,2,35340,1,8,0,4,0,0,60,0,3.659090909,0.077276783,0.876666667,91,234,1
58,4,1,35355,1,10,2,0,1,0,30,0,3.645833333,0.084002471,0.787142857,145,257,1
59,2,3,35508,1,9,0,8,0,0,30,0,2.712121212,0.036785396,0.902,134,232,1
